us_companies;p_age;p_gender;p_education;p_country;p_id;uri
mcdonalds;59;Male;Doctorate (e.g. PhD);Germany;105;http://dbpedia.org/resource/McDonald's_All-American_Game
meta;59;Male;Doctorate (e.g. PhD);Germany;105;http://dbpedia.org/resource/Heavy_metal_music
starbucks;59;Male;Doctorate (e.g. PhD);Germany;105;http://dbpedia.org/resource/Starbucks
apple;47;Female;Doctorate (e.g. PhD);Germany;106;http://dbpedia.org/resource/Apple_II
ford;47;Female;Doctorate (e.g. PhD);Germany;106;http://dbpedia.org/resource/Ford_Motor_Company
chrysler;47;Female;Doctorate (e.g. PhD);Germany;106;http://dbpedia.org/resource/Chrysler
ford;50;Female;Doctorate (e.g. PhD);Germany;107;http://dbpedia.org/resource/Ford_Motor_Company
coca cola;50;Female;Doctorate (e.g. PhD);Germany;107;http://dbpedia.org/resource/The_Coca-Cola_Company
heinz ketchup;50;Female;Doctorate (e.g. PhD);Germany;107;http://dbpedia.org/resource/Heinz_Tomato_Ketchup
peterbilt trucks;45;Female;Doctorate (e.g. PhD);Germany;108;http://dbpedia.org/resource/Paccar
walt disney;45;Female;Doctorate (e.g. PhD);Germany;108;http://dbpedia.org/resource/Walt_Disney
mcdonalds;45;Female;Doctorate (e.g. PhD);Germany;108;http://dbpedia.org/resource/McDonald's_All-American_Game
